from_id,from_x,from_y,to_id,to_x,to_y,dist_um,base_root,series_id
1802,959.27027027027,1126.76013513514,1842,966.717171717172,1144.31313131313,9.53367735955821,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1941,891.760416666667,1212.41666666667,1946,875.244444444444,1215.62222222222,8.41208839802829,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
1989,847.769230769231,1250.60769230769,1978,823.805555555556,1238.11111111111,13.5131627621854,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2017,873.458388375165,1281.00528401585,2025,894.4,1259.4,15.0444291587538,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2028,800.371134020619,1265.38144329897,2008,788.360902255639,1259.36842105263,6.71569251052099,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2035,965.776923076923,1267.67692307692,2069,966.057971014493,1287.36231884058,9.84370095943349,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2041,829.929166666667,1273.92083333333,2005,815.637795275591,1256.11811023622,11.4146862189697,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2063,809.388601036269,1289.22797927461,2093,790.198895027624,1307.02762430939,13.0869417747465,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2068,898.858585858586,1288.14141414141,2096,901.297297297297,1308.63513513514,10.3191558963147,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2070,1054.52713178295,1288.42635658915,2115,1059.5,1314.5,13.2718150512703,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2074,846.307692307692,1294.08391608392,2005,815.637795275591,1256.11811023622,24.4030991762555,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2083,829.046511627907,1295.98837209302,2093,790.198895027624,1307.02762430939,20.192835394139,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2097,1018.32075471698,1304.41509433962,2118,1012.02,1317.96,7.46933697445908,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2100,994.578754578755,1319.10256410256,2118,1012.02,1317.96,8.73931482686976,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2102,849.6,1306.6,2034,874.708378088077,1344.7305764411,22.8274588486357,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2137,1055.56097560976,1329.59756097561,2115,1059.5,1314.5,7.8014783944966,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2147,954.860465116279,1336.04651162791,2125,961,1323.06756756757,7.17890795159415,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2150,1023.06111111111,1337.02222222222,2118,1012.02,1317.96,11.0144728722858,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2174,1005.79591836735,1350.73469387755,2201,1020.39160839161,1370.53846153846,12.3006440974817,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2194,898.632075471698,1365.21698113208,2203,913.421052631579,1364.1052631579,7.41535168231407,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2204,931.933333333333,1364.16666666667,2184,946.894736842105,1356.47368421053,8.41168196650916,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2218,944.841607565012,1392.82742316785,2232,917.72380952381,1383.14285714286,14.3976195054587,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2244,795.51875,1389.0125,2231,776.147826086957,1382.98260869565,10.1438686208365,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
2288,939.413793103448,1410.65517241379,2268,917.622377622378,1407.37062937063,11.0187795566369,avg_unresected 1-2.nd2 - unresected 1-2.nd2,12
